Tempo;Pressao;Temperatura
0;0;100.82
1;0.000028861;102.72
2;0.00011527;104.69
3;0.00025894;106.72
4;0.00045961;108.8
5;0.00071701;110.9
6;0.0010309;113.01
7;0.0014009;115.11
8;0.0018268;117.18
9;0.0023083;119.2
10;0.0028452;121.15
11;0.0034372;123.03
12;0.004084;124.8
13;0.0047852;126.45
14;0.0055408;127.96
15;0.0063502;129.32
16;0.0072134;130.5
17;0.0081299;131.49
18;0.0090995;132.27
19;0.010122;132.83
20;0.011197;133.13
21;0.012324;133.19
22;0.013504;133.2
23;0.014734;133.2
24;0.016017;133.21
25;0.01735;133.21
26;0.018735;133.21
27;0.020169;133.22
28;0.021655;133.22
29;0.02319;133.23
30;0.024774;133.23
31;0.026409;133.23
32;0.028092;133.24
33;0.029824;133.24
34;0.031604;133.24
35;0.033433;133.25
36;0.03531;133.25
37;0.037234;133.25
38;0.039206;133.26
39;0.041225;133.26
40;0.04329;133.26
41;0.045402;133.27
42;0.04756;133.27
43;0.049764;133.27
44;0.052014;133.27
45;0.054309;133.28
46;0.056649;133.28
47;0.059033;133.28
48;0.061462;133.28
49;0.063935;133.29
50;0.066452;133.29
51;0.069012;133.29
52;0.071615;133.29
53;0.074261;133.3
54;0.07695;133.3
55;0.079681;133.3
56;0.082454;133.3
57;0.085269;133.3
58;0.088125;133.31
59;0.091022;133.31
60;0.09396;133.31
61;0.096939;133.31
62;0.099957;133.31
63;0.10302;133.31
64;0.10611;133.32
65;0.10925;133.32
66;0.11243;133.32
67;0.11564;133.32
68;0.11889;133.32
69;0.12218;133.32
70;0.12551;133.33
71;0.12888;133.33
72;0.13228;133.33
73;0.13572;133.33
74;0.1392;133.33
75;0.14271;133.33
76;0.14626;133.33
77;0.14984;133.33
78;0.15346;133.33
79;0.15711;133.34
80;0.1608;133.34
81;0.16453;133.34
82;0.16828;133.34
83;0.17207;133.34
84;0.1759;133.34
85;0.17975;133.34
86;0.18364;133.34
87;0.18756;133.34
88;0.19152;133.34
89;0.1955;133.34
90;0.19952;133.34
91;0.20357;133.35
92;0.20765;133.35
93;0.21176;133.35
94;0.2159;133.35
95;0.22006;133.35
96;0.22426;133.35
97;0.22849;133.35
98;0.23275;133.35
99;0.23703;133.35
100;0.24135;133.35
101;0.24569;133.35
102;0.25006;133.35
103;0.25446;133.35
104;0.25888;133.35
105;0.26333;133.35
106;0.26781;133.35
107;0.27231;133.35
108;0.27684;133.35
109;0.28139;133.35
110;0.28597;133.35
111;0.29058;133.35
112;0.2952;133.35
113;0.29986;133.35
114;0.30453;133.35
115;0.30923;133.35
116;0.31396;133.35
117;0.3187;133.35
118;0.32347;133.35
119;0.32826;133.35
120;0.33307;133.35
121;0.33791;133.35
122;0.34276;133.35
123;0.34764;133.35
124;0.35253;133.35
125;0.35745;133.35
126;0.36239;133.35
127;0.36735;133.34
128;0.37232;133.34
129;0.37732;133.34
130;0.38233;133.34
131;0.38736;133.34
132;0.39241;133.34
133;0.39748;133.33
134;0.40257;133.33
135;0.40767;133.33
136;0.41279;133.33
137;0.41792;133.33
138;0.42307;133.32
139;0.42824;133.32
140;0.43342;133.32
141;0.43862;133.32
142;0.44383;133.31
143;0.44906;133.31
144;0.4543;133.31
145;0.45956;133.31
146;0.46483;133.3
147;0.47011;133.3
148;0.4754;133.3
149;0.48071;133.29
150;0.48603;133.29
151;0.49136;133.29
152;0.49671;133.29
153;0.50206;133.28
154;0.50743;133.28
155;0.5128;133.27
156;0.51819;133.27
157;0.52359;133.27
158;0.52899;133.26
159;0.53441;133.26
160;0.53983;133.26
161;0.54527;133.25
162;0.55071;133.25
163;0.55616;133.24
164;0.56162;133.24
165;0.56708;133.24
166;0.57255;133.23
167;0.57803;133.23
168;0.58352;133.22
